LAD19CD,ethnicity,population,proportion
E06000051,Mixed/multiple ethnic group,2168.0,0.00708198177892326
E06000051,Other ethnic group,418.0,0.00136543744630532
E06000051,White,299874.0,0.979567437256843
E06000052,Asian/Asian British,3434.0,0.0064515765406098
E06000052,Black/African/Caribbean/Black British,762.0,0.00143159619217958
E06000052,Mixed/multiple ethnic group,4400.0,0.00826643470549887
E06000052,Other ethnic group,829.0,0.0015574714479224
E06000052,White,522848.0,0.982292921113789
E06000053,Asian/Asian British,2.0,0.000907852927825692
E06000053,Black/African/Caribbean/Black British,2.0,0.000907852927825692
E06000053,Mixed/multiple ethnic group,18.0,0.00817067635043123
E06000053,Other ethnic group,4.0,0.00181570585565138
E06000053,White,2177.0,0.988197911938266
E06000054,Asian/Asian British,6178.0,0.0131173019718418
E06000054,Black/African/Caribbean/Black British,3228.0,0.00685377966414781
E06000054,Mixed/multiple ethnic group,5568.0,0.0118221329522847
E06000054,Other ethnic group,1036.0,0.00219966410534608
E06000054,White,454971.0,0.96600712130638
E06000055,Asian/Asian British,17932.0,0.113869150807409
E06000055,Black/African/Caribbean/Black British,6202.0,0.0393830288482909
E06000055,Mixed/multiple ethnic group,5386.0,0.0342013855815696
E06000055,Other ethnic group,1113.0,0.00706760901453527
E06000055,White,126846.0,0.805478825748195
E06000056,Asian/Asian British,6402.0,0.025166973948526
E06000056,Black/African/Caribbean/Black British,3614.0,0.0142070359028387
E06000056,Mixed/multiple ethnic group,4789.0,0.0188260915713045
E06000056,Other ethnic group,854.0,0.00335716897095302
E06000056,White,238722.0,0.938442729606378
E06000057,Asian/Asian British,2658.0,0.00841064715784677
E06000057,Black/African/Caribbean/Black British,338.0,0.0010695254850836
E06000057,Mixed/multiple ethnic group,1692.0,0.00535395597858418
E06000057,Other ethnic group,274.0,0.000867011783765995
E06000057,White,311066.0,0.984298859594719
E06000058,Asian/Asian British,10837.0,0.0286021198876713
E06000058,Black/African/Caribbean/Black British,2367.0,0.00624722873250143
E06000058,Mixed/multiple ethnic group,6612.0,0.0174510673338823
E06000058,Other ethnic group,2161.0,0.00570353244230485
E06000058,White,356911.0,0.94199605160364
E06000059,Asian/Asian British,3338.0,0.0091413736159911
E06000059,Black/African/Caribbean/Black British,841.0,0.00230314416148847
E06000059,Mixed/multiple ethnic group,2895.0,0.00792818352854831
E06000059,Other ethnic group,353.0,0.00096671806064855
E06000059,White,357726.0,0.979660580633324
E07000004,Asian/Asian British,10105.0,0.0580290231254702
E07000004,Black/African/Caribbean/Black British,3323.0,0.0190826762836158
E07000004,Mixed/multiple ethnic group,3864.0,0.0221894255672258
E07000004,Other ethnic group,766.0,0.00439883539971402
E07000004,White,156079.0,0.896300039623974
E07000005,Asian/Asian British,5046.0,0.0544718518918335
E07000005,Black/African/Caribbean/Black British,524.0,0.00565660927295299
E07000005,Mixed/multiple ethnic group,2040.0,0.0220219139634048
E07000005,Other ethnic group,276.0,0.00297943541857829
E07000005,White,84749.0,0.91487018945323
E07000006,Asian/Asian British,7533.0,0.112656467315716
E07000006,Black/African/Caribbean/Black British,709.0,0.0106031375715973
E07000006,Mixed/multiple ethnic group,1607.0,0.0240327814916177
E07000006,Other ethnic group,653.0,0.00976565420910165
E07000006,White,56365.0,0.842941959411967
E07000007,Asian/Asian British,20585.0,0.119928456572907
E07000007,Black/African/Caribbean/Black British,5934.0,0.0345715550791172
E07000007,Mixed/multiple ethnic group,4849.0,0.0282503320826828
E07000007,Other ethnic group,799.0,0.00465498357064622
E07000007,White,139477.0,0.812594672694647
E07000008,Asian/Asian British,13618.0,0.10994050069833
E07000008,Black/African/Caribbean/Black British,2097.0,0.016929448521398
E07000008,Mixed/multiple ethnic group,3944.0,0.0318406032276555
