UTLA19CD,ethnicity,population,proportion
E08000037,Mixed/multiple ethnic group,1558,0.007781673609238115
E08000037,Other ethnic group,1095,0.005469148011627558
E08000037,White,192742,0.9626799324722547
E09000001,Asian/Asian British,940,0.12745762711864406
E09000001,Black/African/Caribbean/Black British,193,0.02616949152542373
E09000001,Mixed/multiple ethnic group,289,0.0391864406779661
E09000001,Other ethnic group,154,0.020881355932203388
E09000001,White,5799,0.7863050847457627
E09000002,Asian/Asian British,29594,0.15918369542415456
E09000002,Black/African/Caribbean/Black British,37140,0.1997730096659154
E09000002,Mixed/multiple ethnic group,7878,0.04237511497436946
E09000002,Other ethnic group,2913,0.015668787753279796
E09000002,White,108386,0.5829993921822808
E09000003,Asian/Asian British,65918,0.18496237225929188
E09000003,Black/African/Caribbean/Black British,27431,0.07696991464311168
E09000003,Mixed/multiple ethnic group,17169,0.04817529308109746
E09000003,Other ethnic group,17315,0.048584961249880744
E09000003,White,228553,0.6413074587666182
E09000004,Asian/Asian British,15243,0.06570343582029078
E09000004,Black/African/Caribbean/Black British,19624,0.08458730069785385
E09000004,Mixed/multiple ethnic group,5395,0.02325461105100497
E09000004,Other ethnic group,1773,0.007642340202675035
E09000004,White,189962,0.8188123122281754
E09000005,Asian/Asian British,105986,0.3405555644811465
E09000005,Black/African/Caribbean/Black British,58632,0.18839708882926595
E09000005,Mixed/multiple ethnic group,15775,0.05068843082756294
E09000005,Other ethnic group,17942,0.05765146281509567
E09000005,White,112880,0.362707453046929
E09000006,Asian/Asian British,16067,0.051930883797900396
E09000006,Black/African/Caribbean/Black British,18686,0.06039587319646274
E09000006,Mixed/multiple ethnic group,10897,0.03522069090344935
E09000006,Other ethnic group,2872,0.00928272224233335
E09000006,White,260870,0.8431698298598541
E09000007,Asian/Asian British,35446,0.16087102542457496
E09000007,Black/African/Caribbean/Black British,18060,0.08196498107453094
E09000007,Mixed/multiple ethnic group,12322,0.05592317258030843
E09000007,Other ethnic group,8455,0.038372863509698735
E09000007,White,146055,0.6628679574108869
E09000008,Asian/Asian British,59627,0.1640908365393612
E09000008,Black/African/Caribbean/Black British,73256,0.20159723483535053
E09000008,Mixed/multiple ethnic group,23895,0.0657579710384228
E09000008,Other ethnic group,6405,0.017626273467298517
E09000008,White,200195,0.5509276841195669
E09000009,Asian/Asian British,100439,0.29676258461393
E09000009,Black/African/Caribbean/Black British,36860,0.10890858002239628
E09000009,Mixed/multiple ethnic group,15066,0.044514830890326165
E09000009,Other ethnic group,20266,0.0598790364279404
E09000009,White,165818,0.48993496804540715
E09000010,Asian/Asian British,34893,0.11166974966876396
E09000010,Black/African/Caribbean/Black British,53687,0.17181709369979453
E09000010,Mixed/multiple ethnic group,17183,0.05499158308423956
E09000010,Other ethnic group,16063,0.051407193102609564
E09000010,White,190640,0.6101143804445923
E09000011,Asian/Asian British,29894,0.11743538775205553
E09000011,Black/African/Caribbean/Black British,48655,0.1911359734754888
E09000011,Mixed/multiple ethnic group,12274,0.048217098724450715
E09000011,Other ethnic group,4732,0.01858915684895721
E09000011,White,159002,0.6246223831990477
E09000012,Asian/Asian British,25867,0.10503512405083851
E09000012,Black/African/Caribbean/Black British,56858,0.23087668006659356
E09000012,Mixed/multiple ethnic group,15869,0.06443740609899704
E09000012,Other ethnic group,13059,0.053027165306371055
E09000012,White,134617,0.5466236244771998
E09000013,Asian/Asian British,16635,0.09115418125626737
E09000013,Black/African/Caribbean/Black British,21505,0.11784013633399637
E09000013,Mixed/multiple ethnic group,10044,0.05503772747447847
